road_id,road_name,road_type,length_km,lanes,speed_limit_kmh,capacity_vehicles_per_hour,has_bus_lane,has_bike_lane,surface_condition,last_maintenance_date,latitude_start,longitude_start,latitude_end,longitude_end,district,toll_rate_rp,avg_daily_traffic
RD-0163,Jl. Segment 163,Jalan Tol,22.5,8,80,14024,1,0,Baik,2023-09-27,-6.209716,106.916137,-6.212229,106.924938,Mangga Dua,15000,19069
RD-0164,Jl. Segment 164,Jalan Lingkungan,2.7,1,30,590,0,0,Cukup,2023-12-07,-6.174071,106.934802,-6.155716,106.926286,Menteng,0,641
RD-0165,Jl. Segment 165,Jalan Lingkungan,1.9,2,20,1228,0,1,Baik,2023-04-01,-6.194788,106.799688,-6.192493,106.80675,Cibubur,0,2592
RD-0166,Jl. Segment 166,Jalan Lingkungan,2.4,1,40,781,0,0,Rusak Ringan,2024-01-27,-6.28512,106.733146,-6.284932,106.741688,Grogol,0,586
RD-0167,Jl. Segment 167,Jalan Lingkungan,2.9,2,20,1146,0,0,Baik,2023-09-06,-6.275343,106.917773,-6.262175,106.900831,Bekasi,0,847
RD-0168,Jl. Segment 168,Jalan Lingkungan,0.7,2,20,1492,0,0,Baik,2022-08-21,-6.176148,106.869758,-6.165227,106.874954,Blok M,0,2990
RD-0169,Jl. Segment 169,Jalan Lingkungan,1.6,2,40,1176,0,1,Cukup,2022-04-29,-6.164967,106.861978,-6.164988,106.85901,Cibubur,0,1548
RD-0170,Jl. Segment 170,Jalan Lingkungan,1.4,1,40,782,0,1,Cukup,2022-07-09,-6.24872,106.893966,-6.260026,106.882816,Tangerang,0,1113
RD-0171,Jl. Segment 171,Jalan Lokal,1.0,2,40,1302,0,0,Baik,2023-07-07,-6.159676,106.925389,-6.169217,106.942012,Kuningan,0,1554
RD-0172,Jl. Segment 172,Jalan Arteri,9.3,4,50,6800,0,1,Baik,2023-07-20,-6.154833,106.865005,-6.152526,106.876233,Bekasi,0,7856
RD-0173,Jl. Segment 173,Jalan Tol,15.7,8,100,14688,1,0,Baik,2022-04-07,-6.198667,106.975505,-6.193383,106.990089,Senen,25000,12134
RD-0174,Jl. Segment 174,Jalan Tol,8.3,4,120,6792,1,0,Rusak Ringan,2023-05-28,-6.296194,106.855528,-6.289264,106.865941,Slipi,15000,7586
RD-0175,Jl. Segment 175,Jalan Arteri,9.2,4,50,6140,1,1,Baik,2023-07-16,-6.140247,106.809493,-6.136517,106.818214,Kemang,0,7900
RD-0176,Jl. Segment 176,Jalan Lokal,2.3,1,30,615,0,1,Cukup,2023-12-18,-6.107646,106.773076,-6.090089,106.766676,Cawang,0,884
RD-0177,Jl. Segment 177,Jalan Tol,13.4,4,100,7416,0,0,Baik,2022-12-18,-6.237757,106.778588,-6.234987,106.772325,Sunter,15000,5570
RD-0178,Jl. Segment 178,Jalan Lokal,1.8,2,20,1428,0,0,Cukup,2023-09-19,-6.247374,106.87421,-6.266898,106.88945,Sudirman,0,1691
RD-0179,Jl. Segment 179,Jalan Lokal,0.5,2,20,1576,0,0,Cukup,2023-03-31,-6.182548,106.959081,-6.197524,106.972516,Mangga Dua,0,2909
RD-0180,Jl. Segment 180,Jalan Tol,9.3,6,80,10596,1,0,Cukup,2022-10-04,-6.282284,106.834397,-6.262706,106.820067,Sunter,5000,17097
RD-0181,Jl. Segment 181,Jalan Kolektor,3.0,4,60,3360,0,1,Cukup,2024-01-03,-6.17765,106.918379,-6.168092,106.928854,Cakung,0,5247
RD-0182,Jl. Segment 182,Jalan Lingkungan,1.7,1,20,681,0,1,Rusak Berat,2024-01-31,-6.104177,106.76465,-6.103834,106.773412,PIK,0,1203
RD-0183,Jl. Segment 183,Jalan Arteri,7.4,4,60,6212,1,1,Baik,2022-07-22,-6.289674,106.903684,-6.307746,106.913494,Menteng,0,8805
RD-0184,Jl. Segment 184,Jalan Tol,19.1,8,120,13608,0,0,Baik,2022-12-31,-6.17926,106.705141,-6.168419,106.700237,Sudirman,7000,12108
RD-0185,Jl. Segment 185,Jalan Lokal,2.7,1,40,427,0,1,Baik,2023-02-14,-6.226616,106.802094,-6.213522,106.80055,Slipi,0,677
RD-0186,Jl. Segment 186,Jalan Lokal,2.6,1,30,789,0,1,Cukup,2023-09-26,-6.206924,106.99838,-6.219062,106.981287,Kemang,0,767
RD-0187,Jl. Segment 187,Jalan Tol,20.8,4,100,6916,0,0,Baik,2022-11-15,-6.328391,106.838454,-6.346273,106.828599,Mangga Dua,5000,8821
RD-0188,Jl. Segment 188,Jalan Tol,12.9,6,100,9780,1,0,Baik,2023-05-13,-6.347314,106.738856,-6.343721,106.747952,Slipi,10000,9607
RD-0189,Jl. Segment 189,Jalan Tol,10.9,6,100,9720,1,0,Rusak Ringan,2023-01-07,-6.170515,106.801495,-6.182615,106.819482,Senen,5000,10044
RD-0190,Jl. Segment 190,Jalan Lingkungan,2.6,2,40,820,0,1,Rusak Berat,2023-08-01,-6.317618,106.899834,-6.308081,106.910626,PIK,0,842
RD-0191,Jl. Segment 191,Jalan Lokal,1.5,1,30,519,0,0,Baik,2024-01-30,-6.255355,106.929019,-6.247493,106.938964,Sudirman,0,912
RD-0192,Jl. Segment 192,Jalan Lingkungan,2.6,2,40,814,0,1,Baik,2022-12-23,-6.203036,106.907293,-6.190853,106.893292,Mangga Dua,0,679
RD-0193,Jl. Segment 193,Jalan Kolektor,4.9,4,60,3576,0,1,Rusak Ringan,2022-07-05,-6.152353,106.802273,-6.136434,106.794513,Tangerang,0,4898
RD-0194,Jl. Segment 194,Jalan Arteri,9.7,6,80,10476,1,0,Baik,2023-07-15,-6.223036,106.759054,-6.214148,106.753365,Mangga Dua,0,20287
RD-0195,Jl. Segment 195,Jalan Tol,23.6,4,100,6244,0,0,Rusak Ringan,2022-04-24,-6.114807,106.862922,-6.130317,106.882122,Kelapa Gading,25000,10256
RD-0196,Jl. Segment 196,Jalan Kolektor,3.9,2,60,2198,0,1,Cukup,2024-02-02,-6.233388,106.770735,-6.214167,106.752713,Menteng,0,2138
RD-0197,Jl. Segment 197,Jalan Arteri,3.3,6,60,8130,1,0,Baik,2024-03-17,-6.227477,106.949193,-6.208348,106.961205,Cibubur,0,6064
RD-0198,Jl. Segment 198,Jalan Lingkungan,0.9,2,20,1386,0,0,Cukup,2023-09-02,-6.342497,106.74193,-6.348195,106.730341,Blok M,0,1446
RD-0199,Jl. Segment 199,Jalan Kolektor,5.0,4,50,4776,0,0,Cukup,2022-06-13,-6.199783,106.954992,-6.216635,106.95667,Cawang,0,6823
RD-0200,Jl. Segment 200,Jalan Tol,18.1,8,80,14744,1,0,Cukup,2024-01-01,-6.174337,106.778904,-6.157797,106.79117,Kemang,5000,16047
